time,open,high,low,close,volume
2020-08-21 00:00:00+00:00,1952.57,1955.77,1949.95,1950.77,2364900
2020-08-21 01:00:00+00:00,1950.77,1951.74,1940.47,1945.46,4745918
2020-08-21 02:00:00+00:00,1945.47,1948.6,1944.83,1946.5,2266329
2020-08-21 03:00:00+00:00,1946.5,1950.33,1946.39,1949.74,1748788
2020-08-21 04:00:00+00:00,1949.74,1951.54,1946.3,1947.68,1813989
2020-08-21 05:00:00+00:00,1947.67,1949.88,1945.46,1947.38,2200905
2020-08-21 06:00:00+00:00,1947.37,1949.41,1941.11,1948.6,4179215
2020-08-21 07:00:00+00:00,1948.6,1949.06,1933.73,1940.97,6378755
2020-08-21 08:00:00+00:00,1941.03,1941.07,1928.12,1934.49,5985250
2020-08-21 09:00:00+00:00,1934.49,1935.49,1930.65,1935.45,3891090
2020-08-21 10:00:00+00:00,1935.51,1937.18,1929.03,1934.55,3891340
2020-08-21 11:00:00+00:00,1934.54,1934.65,1914.77,1915.92,6149458
2020-08-21 12:00:00+00:00,1915.98,1940.95,1911.24,1938.45,9143018
2020-08-21 13:00:00+00:00,1938.4,1940.57,1926.31,1930.44,9948399
2020-08-21 14:00:00+00:00,1930.45,1945.45,1921.38,1944.72,9502949
2020-08-21 15:00:00+00:00,1944.71,1945.63,1935.56,1939.16,7132357
2020-08-21 16:00:00+00:00,1939.14,1939.14,1931.93,1936.78,5711909
2020-08-21 17:00:00+00:00,1936.67,1941.92,1935.47,1938.83,3986609
2020-08-21 18:00:00+00:00,1938.82,1940.19,1935.88,1940.12,3880139
2020-08-21 19:00:00+00:00,1940.12,1940.21,1936.56,1938.09,2984628
2020-08-21 20:00:00+00:00,1938.11,1941.25,1936.42,1939.62,841723
2020-08-23 22:00:00+00:00,1939.87,1941.34,1929.81,1937.11,2033382
2020-08-23 23:00:00+00:00,1937.12,1937.78,1934.21,1935.03,1165169
2020-08-24 00:00:00+00:00,1935.03,1936.45,1930.95,1934.65,2044547
2020-08-24 01:00:00+00:00,1934.79,1935.68,1930.15,1934.62,3214318
2020-08-24 02:00:00+00:00,1934.62,1936.8,1931.3,1935.36,2291727
2020-08-24 03:00:00+00:00,1935.36,1936.04,1931.19,1931.64,1629229
2020-08-24 04:00:00+00:00,1931.65,1934.01,1930.45,1933.19,1286559
2020-08-24 05:00:00+00:00,1933.19,1934.81,1931.1,1933.38,1763960
2020-08-24 06:00:00+00:00,1933.36,1937.79,1931.02,1934.71,3754970
2020-08-24 07:00:00+00:00,1934.71,1949.41,1933.64,1944.38,5675179
2020-08-24 08:00:00+00:00,1944.37,1950.43,1944.21,1946.29,3709039
2020-08-24 09:00:00+00:00,1946.29,1949.06,1944.02,1947.42,2716988
2020-08-24 10:00:00+00:00,1947.42,1950.9,1946.08,1949.99,2089259
2020-08-24 11:00:00+00:00,1949.98,1950.71,1947.95,1950.03,2297696
2020-08-24 12:00:00+00:00,1950.04,1961.79,1946.06,1949.02,7680258
2020-08-24 13:00:00+00:00,1949.0,1952.15,1937.85,1937.94,9221739
2020-08-24 14:00:00+00:00,1937.97,1946.03,1928.91,1930.54,8904409
2020-08-24 15:00:00+00:00,1930.56,1934.66,1927.25,1930.09,7173909
2020-08-24 16:00:00+00:00,1930.07,1934.22,1927.1,1931.38,4519910
2020-08-24 17:00:00+00:00,1931.37,1933.81,1928.35,1929.06,3687070
2020-08-24 18:00:00+00:00,1928.98,1930.68,1925.43,1927.71,3314428
2020-08-24 19:00:00+00:00,1927.72,1928.42,1923.61,1926.96,3924060
2020-08-24 20:00:00+00:00,1926.99,1929.08,1924.41,1928.42,828290
2020-08-24 22:00:00+00:00,1926.63,1931.06,1926.63,1928.65,1217304
2020-08-24 23:00:00+00:00,1928.65,1930.61,1926.83,1929.59,945449
2020-08-25 00:00:00+00:00,1929.57,1931.78,1926.37,1929.95,1932899
2020-08-25 01:00:00+00:00,1929.95,1934.85,1928.58,1934.26,2718938
2020-08-25 02:00:00+00:00,1934.45,1936.13,1932.85,1934.59,2147510
2020-08-25 03:00:00+00:00,1934.61,1937.42,1934.45,1936.07,1203239
2020-08-25 04:00:00+00:00,1936.07,1937.16,1932.8,1933.1,991199
2020-08-25 05:00:00+00:00,1933.09,1934.35,1929.37,1930.92,2285780
2020-08-25 06:00:00+00:00,1930.92,1933.35,1929.87,1930.34,3297580
2020-08-25 07:00:00+00:00,1930.35,1935.83,1929.87,1934.89,3394899
2020-08-25 08:00:00+00:00,1934.89,1935.45,1924.8,1925.44,5199920
2020-08-25 09:00:00+00:00,1925.47,1927.55,1921.31,1923.39,3270569
2020-08-25 10:00:00+00:00,1923.42,1929.61,1922.04,1924.21,3124120
2020-08-25 11:00:00+00:00,1924.21,1931.66,1924.01,1925.42,3617649
2020-08-25 12:00:00+00:00,1925.42,1928.46,1919.72,1925.86,6558140
2020-08-25 13:00:00+00:00,1925.82,1930.75,1921.68,1923.29,7654409
2020-08-25 14:00:00+00:00,1923.29,1925.0,1915.03,1917.85,8612028
2020-08-25 15:00:00+00:00,1917.88,1921.07,1914.11,1919.24,7182158
2020-08-25 16:00:00+00:00,1919.27,1921.73,1914.41,1916.02,4701380
2020-08-25 17:00:00+00:00,1915.89,1921.62,1914.88,1921.35,3629709
2020-08-25 18:00:00+00:00,1921.37,1928.57,1919.68,1928.48,3388839
2020-08-25 19:00:00+00:00,1928.49,1929.36,1926.11,1929.08,2297760
2020-08-25 20:00:00+00:00,1929.08,1929.41,1926.15,1927.66,438559
2020-08-25 22:00:00+00:00,1930.92,1931.91,1927.29,1928.04,1083133
2020-08-25 23:00:00+00:00,1928.11,1930.17,1927.63,1929.57,674700
2020-08-26 00:00:00+00:00,1929.45,1930.16,1925.55,1926.43,1451619
2020-08-26 01:00:00+00:00,1926.43,1929.87,1923.85,1929.03,2858358
2020-08-26 02:00:00+00:00,1929.03,1931.36,1927.92,1928.97,1765288
2020-08-26 03:00:00+00:00,1928.92,1929.16,1925.09,1925.54,1285226
2020-08-26 04:00:00+00:00,1925.54,1927.64,1922.46,1923.2,1485608
2020-08-26 05:00:00+00:00,1923.22,1924.92,1917.78,1918.65,2920717
2020-08-26 06:00:00+00:00,1918.65,1920.98,1915.22,1917.21,3359507
2020-08-26 07:00:00+00:00,1917.21,1920.42,1913.71,1917.23,4115588
2020-08-26 08:00:00+00:00,1917.21,1923.96,1916.21,1923.0,3500419
2020-08-26 09:00:00+00:00,1922.98,1923.71,1917.2,1919.69,2771799
2020-08-26 10:00:00+00:00,1919.72,1920.27,1917.59,1918.53,2077050
2020-08-26 11:00:00+00:00,1918.49,1920.16,1913.95,1917.61,3377859
2020-08-26 12:00:00+00:00,1917.6,1918.7,1902.68,1911.53,7312448
2020-08-26 13:00:00+00:00,1911.53,1935.97,1910.17,1935.1,8640625
2020-08-26 14:00:00+00:00,1935.1,1943.76,1927.23,1938.35,8224850
2020-08-26 15:00:00+00:00,1938.35,1946.14,1937.15,1940.2,6552669
2020-08-26 16:00:00+00:00,1940.2,1946.05,1939.98,1943.22,4985979
2020-08-26 17:00:00+00:00,1943.22,1949.7,1943.22,1946.3,4254488
2020-08-26 18:00:00+00:00,1946.3,1949.57,1944.58,1946.2,3377299
2020-08-26 19:00:00+00:00,1946.16,1954.09,1945.03,1952.1,3381220
2020-08-26 20:00:00+00:00,1952.12,1954.75,1951.29,1953.94,809664
2020-08-26 22:00:00+00:00,1954.29,1954.92,1950.75,1953.1,911295
2020-08-26 23:00:00+00:00,1953.01,1953.94,1949.93,1953.28,1244408
2020-08-27 00:00:00+00:00,1953.3,1953.76,1947.64,1950.05,2215217
2020-08-27 01:00:00+00:00,1950.09,1950.11,1942.22,1943.82,3816658
2020-08-27 02:00:00+00:00,1943.81,1945.21,1938.08,1941.04,3222839
2020-08-27 03:00:00+00:00,1941.14,1943.72,1940.35,1942.55,2097058
2020-08-27 04:00:00+00:00,1942.63,1944.28,1940.08,1943.33,1686688
2020-08-27 05:00:00+00:00,1943.33,1945.13,1939.26,1939.74,2256869
2020-08-27 06:00:00+00:00,1939.74,1944.17,1936.79,1941.7,3044328
2020-08-27 07:00:00+00:00,1941.66,1948.6,1938.33,1946.19,3600659
2020-08-27 08:00:00+00:00,1946.19,1946.57,1941.89,1942.39,2753040
2020-08-27 09:00:00+00:00,1942.4,1943.35,1939.03,1942.06,2358569
2020-08-27 10:00:00+00:00,1942.08,1943.8,1938.57,1939.9,2243710
2020-08-27 11:00:00+00:00,1939.91,1943.44,1937.12,1940.68,2875648
2020-08-27 12:00:00+00:00,1940.74,1943.84,1932.17,1939.72,7130700
2020-08-27 13:00:00+00:00,1939.73,1976.58,1931.49,1940.94,12148124
2020-08-27 14:00:00+00:00,1940.96,1940.96,1909.78,1919.68,11528435
2020-08-27 15:00:00+00:00,1919.71,1932.1,1916.3,1928.61,9042640
2020-08-27 16:00:00+00:00,1928.63,1931.57,1919.42,1920.56,7649466
2020-08-27 17:00:00+00:00,1920.57,1932.0,1919.06,1930.68,5804994
2020-08-27 18:00:00+00:00,1930.68,1934.97,1928.15,1930.35,3741350
2020-08-27 19:00:00+00:00,1930.25,1933.71,1928.11,1929.7,2595379
2020-08-27 20:00:00+00:00,1929.67,1931.13,1927.04,1929.1,816732
2020-08-27 22:00:00+00:00,1928.72,1931.13,1926.97,1927.28,725808
2020-08-27 23:00:00+00:00,1927.28,1929.8,1926.45,1927.87,755858
2020-08-28 00:00:00+00:00,1927.76,1929.95,1923.29,1929.29,2099620
2020-08-28 01:00:00+00:00,1929.29,1936.5,1928.72,1935.58,2934108
2020-08-28 02:00:00+00:00,1935.58,1937.83,1932.99,1935.42,2520070
2020-08-28 03:00:00+00:00,1935.41,1940.98,1935.31,1940.69,2016548
2020-08-28 04:00:00+00:00,1940.69,1942.92,1938.78,1942.56,1558580
2020-08-28 05:00:00+00:00,1942.52,1945.35,1940.1,1941.02,4154730
2020-08-28 06:00:00+00:00,1941.04,1948.66,1939.96,1944.87,4137029
