time,open,high,low,close,volume
2012-10-26 04:00:00+00:00,1714.08,1714.86,1704.2,1705.42,18337
2012-10-26 08:00:00+00:00,1705.42,1705.47,1700.7,1703.58,33985
2012-10-26 12:00:00+00:00,1703.55,1712.33,1702.16,1712.2,34376
2012-10-26 16:00:00+00:00,1712.2,1718.75,1711.68,1712.95,45707
2012-10-26 20:00:00+00:00,1712.95,1713.28,1710.43,1710.89,13933
2012-10-29 00:00:00+00:00,1711.77,1716.09,1710.95,1715.12,8282
2012-10-29 04:00:00+00:00,1715.12,1715.49,1712.56,1715.3,10903
2012-10-29 08:00:00+00:00,1715.3,1717.19,1709.77,1711.93,26446
2012-10-29 12:00:00+00:00,1711.94,1714.0,1707.13,1713.01,27383
2012-10-29 16:00:00+00:00,1713.03,1713.27,1705.94,1709.1,19072
2012-10-29 20:00:00+00:00,1709.07,1709.97,1708.34,1709.14,3580
2012-10-30 00:00:00+00:00,1706.97,1711.49,1704.73,1708.47,9997
2012-10-30 04:00:00+00:00,1708.44,1711.93,1707.94,1709.45,16478
2012-10-30 08:00:00+00:00,1709.49,1715.14,1708.66,1713.47,26542
2012-10-30 12:00:00+00:00,1713.45,1715.14,1711.33,1711.57,25891
2012-10-30 16:00:00+00:00,1711.6,1712.31,1709.11,1709.8,16098
2012-10-30 20:00:00+00:00,1709.82,1710.59,1708.55,1708.62,2487
2012-10-31 00:00:00+00:00,1710.56,1712.76,1709.24,1711.59,8529
2012-10-31 04:00:00+00:00,1711.58,1712.72,1710.82,1711.67,10591
2012-10-31 08:00:00+00:00,1711.67,1720.48,1711.09,1718.01,29088
2012-10-31 12:00:00+00:00,1718.01,1722.02,1716.2,1719.23,44814
2012-10-31 16:00:00+00:00,1719.21,1725.9,1717.16,1719.14,42941
2012-10-31 20:00:00+00:00,1719.12,1721.47,1718.92,1720.32,8889
2012-11-01 00:00:00+00:00,1719.89,1721.49,1717.8,1719.67,8942
2012-11-01 04:00:00+00:00,1719.7,1722.15,1719.04,1720.85,11497
2012-11-01 08:00:00+00:00,1720.85,1725.36,1719.62,1722.5,31624
2012-11-01 12:00:00+00:00,1722.46,1726.98,1717.07,1719.53,37601
2012-11-01 16:00:00+00:00,1719.53,1721.45,1714.79,1715.42,34434
2012-11-01 20:00:00+00:00,1715.44,1717.07,1713.58,1713.97,6676
2012-11-02 00:00:00+00:00,1716.02,1716.82,1713.28,1713.87,7226
2012-11-02 04:00:00+00:00,1713.89,1713.95,1706.2,1708.46,14020
2012-11-02 08:00:00+00:00,1708.46,1711.1,1706.0,1707.31,27273
2012-11-02 12:00:00+00:00,1707.33,1709.98,1692.08,1694.99,39264
2012-11-02 16:00:00+00:00,1695.09,1696.05,1674.43,1677.2,54770
2012-11-02 20:00:00+00:00,1677.23,1680.08,1675.62,1677.42,10890
2012-11-05 00:00:00+00:00,1677.93,1683.98,1677.89,1680.32,11984
2012-11-05 04:00:00+00:00,1680.3,1680.87,1678.16,1679.19,13392
2012-11-05 08:00:00+00:00,1679.21,1680.93,1672.63,1677.72,32974
2012-11-05 12:00:00+00:00,1677.74,1683.6,1676.04,1682.05,39508
2012-11-05 16:00:00+00:00,1682.03,1684.68,1680.1,1683.15,32773
2012-11-05 20:00:00+00:00,1683.17,1686.16,1682.72,1684.46,10962
2012-11-06 00:00:00+00:00,1685.4,1686.7,1683.62,1685.32,7417
2012-11-06 04:00:00+00:00,1685.33,1687.0,1683.54,1686.3,12156
2012-11-06 08:00:00+00:00,1686.31,1690.05,1684.17,1689.8,26012
2012-11-06 12:00:00+00:00,1689.82,1694.12,1689.1,1691.54,29893
2012-11-06 16:00:00+00:00,1691.54,1720.84,1688.42,1717.24,51051
